source,question,split,top1_action,p,n
3FGM,q0,all,AS,0.7431,51172
3FGM,q1,all,2FGM,0.19,50994
3FGM,q2,all,2FGM,0.2323,50733
3FGA,q0,all,D,0.6666,87796
3FGA,q1,all,D,0.735,87645
3FGA,q2,all,2FGM,0.2281,86511
2FGM,q0,all,AS,0.4534,115264
2FGM,q1,all,2FGM,0.1784,115061
2FGM,q2,all,2FGM,0.2191,114478
2FGA,q0,all,D,0.5971,97528
2FGA,q1,all,D,0.6755,97410
2FGA,q2,all,2FGM,0.2278,96706
FTM,q0,all,FTM,0.293,79284
FTM,q1,all,2FGM,0.1744,79091
FTM,q2,all,2FGM,0.2272,77343
FTA,q0,all,D,0.3989,23443
FTA,q1,all,D,0.5355,23340
FTA,q2,all,2FGM,0.2195,22820
AS,q0,all,2FGM,0.1769,100589
AS,q1,all,2FGM,0.183,100567
AS,q2,all,2FGM,0.2309,100057
TO,q0,all,ST,0.5155,72466
TO,q1,all,ST,0.5154,72466
TO,q2,all,2FGM,0.2269,71982
D,q0,all,2FGM,0.2016,134020
D,q1,all,CM,0.2612,133545
D,q2,all,2FGM,0.2045,132763
O,q0,all,2FGM,0.2975,59299
O,q1,all,D,0.2354,59056
O,q2,all,2FGM,0.2038,58664
ST,q0,all,2FGM,0.3003,37354
ST,q1,all,CM,0.2398,37228
ST,q2,all,2FGM,0.2044,37019
FV,q0,all,D,0.4783,14315
FV,q1,all,O,0.3144,14254
FV,q2,all,2FGM,0.217,14163
AG,q0,all,FV,0.7922,14330
AG,q1,all,FV,0.818,14321
AG,q2,all,2FGM,0.2383,14182
CM,q0,all,RV,0.7081,106275
CM,q1,all,RV,0.7067,106275
CM,q2,all,2FGM,0.225,105820
RV,q0,all,CM,0.3282,117190
RV,q1,all,CM,0.3521,116986
RV,q2,all,FTM,0.208,116076
OF,q0,all,TO,0.8586,9385
OF,q1,all,RV,0.8267,9383
OF,q2,all,2FGM,0.2283,9356
CMU,q0,all,RV,0.6541,1541
CMU,q1,all,RV,0.6827,1541
CMU,q2,all,2FGA,0.2018,1521
CMT,q0,all,FTM,0.6675,1137
CMT,q1,all,FTM,0.6834,1137
CMT,q2,all,2FGM,0.2232,1129
3FGM,q0,home_acting,AS,0.7462,26034
3FGM,q1,home_acting,2FGM,0.1852,25948
3FGM,q2,home_acting,2FGM,0.2334,25805
3FGA,q0,home_acting,D,0.6597,43558
3FGA,q1,home_acting,D,0.7272,43488
3FGA,q2,home_acting,2FGM,0.2296,42920
2FGM,q0,home_acting,AS,0.4573,58827
2FGM,q1,home_acting,2FGM,0.173,58734
2FGM,q2,home_acting,2FGM,0.222,58418
2FGA,q0,home_acting,D,0.5965,48504
2FGA,q1,home_acting,D,0.6752,48450
2FGA,q2,home_acting,2FGM,0.2342,48102
FTM,q0,home_acting,FTM,0.293,41449
FTM,q1,home_acting,3FGA,0.1726,41349
FTM,q2,home_acting,2FGM,0.2296,40384
FTA,q0,home_acting,D,0.3934,11973
FTA,q1,home_acting,D,0.5242,11939
FTA,q2,home_acting,2FGM,0.2265,11684
AS,q0,home_acting,2FGM,0.1723,51809
AS,q1,home_acting,2FGM,0.1784,51796
AS,q2,home_acting,2FGM,0.2325,51510
TO,q0,home_acting,ST,0.521,34880
TO,q1,home_acting,ST,0.5208,34880
TO,q2,home_acting,2FGM,0.2321,34640
D,q0,home_acting,2FGM,0.2035,67841
D,q1,home_acting,CM,0.2647,67628
D,q2,home_acting,2FGM,0.2079,67219
O,q0,home_acting,2FGM,0.3039,29878
O,q1,home_acting,D,0.2312,29766
O,q2,home_acting,2FGM,0.2068,29578
ST,q0,home_acting,2FGM,0.3025,19188
ST,q1,home_acting,CM,0.2396,19125
ST,q2,home_acting,2FGM,0.2042,19007
FV,q0,home_acting,D,0.4701,7526
FV,q1,home_acting,O,0.3187,7489
FV,q2,home_acting,2FGM,0.23,7440
AG,q0,home_acting,FV,0.797,6797
AG,q1,home_acting,FV,0.823,6791
AG,q2,home_acting,2FGM,0.2476,6733
CM,q0,home_acting,RV,0.7149,52595
CM,q1,home_acting,RV,0.7134,52595
CM,q2,home_acting,2FGM,0.231,52352
RV,q0,home_acting,CM,0.3333,59475
RV,q1,home_acting,CM,0.3578,59378
RV,q2,home_acting,FTM,0.2168,58896
OF,q0,home_acting,TO,0.8518,4454
OF,q1,home_acting,RV,0.83,4453
OF,q2,home_acting,2FGM,0.2306,4437
CMU,q0,home_acting,RV,0.6841,668
CMU,q1,home_acting,RV,0.7156,668
CMU,q2,home_acting,2FGA,0.197,660
CMT,q0,home_acting,FTM,0.6475,539
CMT,q1,home_acting,FTM,0.6679,539
CMT,q2,home_acting,2FGM,0.2168,535
3FGM,q0,away_acting,AS,0.74,25138
3FGM,q1,away_acting,2FGM,0.1949,25046
3FGM,q2,away_acting,2FGM,0.2311,24928
3FGA,q0,away_acting,D,0.6735,44238
3FGA,q1,away_acting,D,0.7426,44157
3FGA,q2,away_acting,2FGM,0.2266,43591
2FGM,q0,away_acting,AS,0.4492,56437
2FGM,q1,away_acting,2FGM,0.184,56327
2FGM,q2,away_acting,2FGM,0.2161,56060
2FGA,q0,away_acting,D,0.5977,49024
2FGA,q1,away_acting,D,0.6757,48960
2FGA,q2,away_acting,2FGM,0.2216,48604
FTM,q0,away_acting,FTM,0.293,37835
FTM,q1,away_acting,2FGM,0.1819,37742
FTM,q2,away_acting,2FGM,0.2246,36959
FTA,q0,away_acting,D,0.4046,11470
FTA,q1,away_acting,D,0.5473,11401
FTA,q2,away_acting,2FGM,0.2122,11136
AS,q0,away_acting,2FGM,0.1818,48780
AS,q1,away_acting,2FGM,0.188,48771
AS,q2,away_acting,2FGM,0.2293,48547
TO,q0,away_acting,ST,0.5104,37586
TO,q1,away_acting,ST,0.5105,37586
TO,q2,away_acting,2FGM,0.2221,37342
D,q0,away_acting,2FGM,0.1996,66179
D,q1,away_acting,CM,0.2576,65917
D,q2,away_acting,2FGM,0.2011,65544
O,q0,away_acting,2FGM,0.291,29421
O,q1,away_acting,D,0.2396,29290
O,q2,away_acting,2FGM,0.2007,29086
ST,q0,away_acting,2FGM,0.298,18166
ST,q1,away_acting,CM,0.24,18103
ST,q2,away_acting,2FGM,0.2045,18012
FV,q0,away_acting,D,0.4874,6789
FV,q1,away_acting,O,0.3095,6765
FV,q2,away_acting,2FGM,0.2027,6723
AG,q0,away_acting,FV,0.7879,7533
AG,q1,away_acting,FV,0.8134,7530
AG,q2,away_acting,2FGM,0.2298,7449
CM,q0,away_acting,RV,0.7015,53680
CM,q1,away_acting,RV,0.7001,53680
CM,q2,away_acting,2FGM,0.2191,53468
RV,q0,away_acting,CM,0.323,57715
RV,q1,away_acting,CM,0.3462,57608
RV,q2,away_acting,FTM,0.1989,57180
OF,q0,away_acting,TO,0.8647,4931
OF,q1,away_acting,RV,0.8237,4930
OF,q2,away_acting,2FGM,0.2263,4919
CMU,q0,away_acting,RV,0.6312,873
CMU,q1,away_acting,RV,0.6575,873
CMU,q2,away_acting,3FGA,0.2067,861
CMT,q0,away_acting,FTM,0.6856,598
CMT,q1,away_acting,FTM,0.6973,598
CMT,q2,away_acting,2FGM,0.229,594
3FGM,q0,open_doors,AS,0.7409,46076
3FGM,q1,open_doors,2FGM,0.1902,45915
